total_genes	mut_genes_combi	mut_genes_ppcg	a	b	c	d	odds_ratio	p_value	q_value	significant	geneset
22	9	9	20	44	12	52	1.96970	0.15242	1.00000	False	GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT_VIA_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL
31	11	14	12	52	20	44	0.50769	0.15242	1.00000	False	GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION
10	6	3	10	54	4	60	2.77778	0.15495	1.00000	False	GOBP_POSITIVE_REGULATION_OF_T_CELL_TOLERANCE_INDUCTION
30	11	4	10	54	4	60	2.77778	0.15495	1.00000	False	GOBP_REGULATORY_NCRNA_MEDIATED_HETEROCHROMATIN_FORMATION
9	4	3	10	54	4	60	2.77778	0.15495	1.00000	False	GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY
18	8	3	10	54	4	60	2.77778	0.15495	1.00000	False	GOBP_REGULATION_OF_ODONTOGENESIS
14	6	3	10	54	4	60	2.77778	0.15495	1.00000	False	GOBP_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION
16	6	3	10	54	4	60	2.77778	0.15495	1.00000	False	GOBP_REGULATION_OF_T_CELL_TOLERANCE_INDUCTION
19	6	3	10	54	4	60	2.77778	0.15495	1.00000	False	GOBP_T_CELL_TOLERANCE_INDUCTION
20	8	3	10	54	4	60	2.77778	0.15495	1.00000	False	GOBP_SEMINIFEROUS_TUBULE_DEVELOPMENT
16	7	4	10	54	4	60	2.77778	0.15495	1.00000	False	GOBP_NEGATIVE_REGULATION_OF_GTPASE_ACTIVITY
22	9	5	10	54	4	60	2.77778	0.15495	1.00000	False	GOBP_SEX_DETERMINATION
12	6	3	10	54	4	60	2.77778	0.15495	1.00000	False	GOBP_POSITIVE_REGULATION_OF_TOLERANCE_INDUCTION
14	7	3	10	54	4	60	2.77778	0.15495	1.00000	False	GOBP_REGULATION_OF_PROTEIN_K63_LINKED_UBIQUITINATION
22	13	9	21	43	13	51	1.91592	0.16072	1.00000	False	GOBP_REGULATION_OF_SYNAPTIC_VESICLE_ENDOCYTOSIS
40	17	11	21	43	13	51	1.91592	0.16072	1.00000	False	GOBP_POSITIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY
22	14	7	21	43	13	51	1.91592	0.16072	1.00000	False	GOBP_VOCALIZATION_BEHAVIOR
38	12	13	13	51	21	43	0.52194	0.16072	1.00000	False	GOBP_FOREBRAIN_NEURON_DEVELOPMENT
30	12	8	21	43	13	51	1.91592	0.16072	1.00000	False	GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS
42	11	5	15	49	8	56	2.14286	0.16629	1.00000	False	GOBP_NUCLEOTIDE_SUGAR_METABOLIC_PROCESS
21	12	7	15	49	8	56	2.14286	0.16629	1.00000	False	GOBP_POSITIVE_REGULATION_OF_MYELINATION
31	10	8	15	49	8	56	2.14286	0.16629	1.00000	False	GOBP_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION
41	14	17	14	50	22	42	0.53455	0.16833	1.00000	False	GOBP_REGULATION_OF_MEMBRANE_REPOLARIZATION
40	15	10	22	42	14	50	1.87075	0.16833	1.00000	False	GOBP_RESPONSE_TO_TESTOSTERONE
38	14	17	14	50	22	42	0.53455	0.16833	1.00000	False	GOBP_PROTEIN_O_LINKED_GLYCOSYLATION_VIA_N_ACETYL_GALACTOSAMINE
42	12	11	23	41	15	49	1.83252	0.17527	1.00000	False	GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY
9	7	3	11	53	5	59	2.44906	0.18021	1.00000	False	GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY
11	7	5	11	53	5	59	2.44906	0.18021	1.00000	False	GOBP_ELASTIC_FIBER_ASSEMBLY
19	8	5	11	53	5	59	2.44906	0.18021	1.00000	False	GOBP_GONADOTROPIN_SECRETION
5	4	3	11	53	5	59	2.44906	0.18021	1.00000	False	GOBP_REGULATION_OF_SYNAPTIC_VESICLE_TRANSPORT
23	5	3	11	53	5	59	2.44906	0.18021	1.00000	False	GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_SLEEP
